#OTU ID	BD0017v13	BD0027v13	BD0022v13	BD0040v13	BD0044v13	BD0057v13	BD0115v13	BD0190v13	BD0072v13	BD0112v13	BD0246v13	BD0247v13	BD0266v13	BD0235v13	BD0295v13	BD0255v13	BD0300v13	BD0331v13	BD0321v13	BD0351v13	BD0409v13	BD0410v13	BD0375v13	BD0414v13	BD0422v13	BD0464v13	BD0571v13	BD0578v13	BD0587v13	BD0592v13	BD0594v13	BD0610v13	BD0611v13	BD0613v13	BD0636v13	BD0616v13	BD0653v13	BD0643v13	BD0654v13	BD0673v13	BD0735v13	BD0760v13	BD0777v13	BD0758v13	BD0789v13	BD0791v13	BD0821v13	BD0786v13	BD0790v13	BD0913v13	BD0954v13	BD0981v13
denovo619	0	0	0	0	0	0	0	8	0	0	0	0	0	0	1	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	7	0	0	0	0	0
denovo618	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0
denovo617	0	0	0	0	9	0	0	0	0	0	1	3	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	4	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0
denovo616	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
denovo615	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0
denovo614	0	0	0	0	0	0	0	0	0	0	1	1	8	0	0	0	1	0	3	1	1	1	0	1	0	0	0	0	1	0	0	0	0	2	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0
denovo613	0	0	0	0	0	4	2	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0
denovo612	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
denovo611	1	1	4	0	1	0	2	0	2	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	1	3	0	0	1	1	1	0	1	1	0	0	2	1	1	0	0	0	0	0	0	0	0
denovo610	1	0	0	0	0	1	1	0	0	1	0	2	0	0	0	1	1	0	0	0	0	0	1	0	2	1	0	3	0	0	1	0	0	0	2	0	1	0	0	0	0	2	1	0	1	0	0	1	0	1	0	0
denovo1189	1	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
denovo1188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	2	0	0	2	0	0	0	1	0	0	1	0	0	0	0	0
denovo1181	0	0	0	0	0	1	1	0	0	0	0	0	0	0	4	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
denovo1180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
denovo1183	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
denovo1182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0
denovo1185	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	6	0	0	0	0	0
denovo1184	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
denovo1187	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
denovo1186	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
denovo428	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
denovo429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	4	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	41	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0
denovo420	3	0	0	5	0	6	1	0	0	5	0	0	3	0	1	2	0	0	0	1	0	0	0	0	5	0	2	0	0	1	0	0	0	0	0	0	1	0	3	2	0	3	0	0	1	0	0	0	0	3	0	0
denovo421	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	1	1	1	36	0	8	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
denovo422	0	0	0	15	0	0	0	0	0	3	14	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0
denovo423	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	5	2	0	0	0	0	0	0	15	0	0	0	0	0	0	0	8	0	0	0	0	1	17	0
denovo424	0	1	0	2	1	2	0	1	3	0	0	1	5	2	1	1	2	0	1	3	3	0	1	0	0	0	0	0	0	0	0	1	0	0	0	5	1	0	0	0	0	1	0	1	2	0	0	0	0	3	1	0
denovo425	2	1	1	0	1	0	0	3	4	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	3	12	2	1	1	0	0	0	2	0	0	0	9	0	0	0	4	0	0	0	0	0	0	1	0	3	0	0
denovo426	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	29	5	0	0	11	0	0	0	0	0	2	0	0	2	0
denovo427	0	0	0	0	0	0	0	5	0	0	0	0	1	0	1	9	1	0	0	0	2	0	0	0	0	4	1	0	14	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
denovo990	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	6	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
denovo991	0	0	0	0	1	1	0	0	0	0	1	2	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0
denovo992	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1
denovo993	0	0	0	0	0	9	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
denovo994	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
denovo995	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	3	0	0	1	1	1	2	0	0	1	0	0	0	0	0	0	0	0	0
denovo996	0	0	0	0	0	0	0	3	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
denovo997	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	2	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0
denovo998	0	0	0	6	1	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
denovo675	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	6	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0
denovo674	1	0	0	4	0	0	1	0	1	1	0	1	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	3
denovo677	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	13	0	1	0	0	0	0	0	0	0	0	0	0
denovo676	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	4	5	3	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	2	1	0
denovo671	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	1	0	1	0	0	3	0	3	0	0
denovo670	0	0	0	0	0	0	0	0	8	8	0	0	0	0	2	1	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0
denovo673	0	0	1	0	2	0	0	12	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
denovo672	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
denovo679	0	0	0	1	0	0	0	0	0	1	0	0	7	0	1	0	1	0	0	2	0	0	0	2	0	0	0	0	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	1	0	0	1
denovo678	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0
denovo448	0	0	1	9	1	3	0	0	0	0	0	0	1	2	0	0	4	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	11	0	1	1	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0
denovo446	0	0	0	0	0	0	3	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	11	0	0	1	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	12	0	0	0	1	0	0	7	0
denovo447	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
denovo444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	0
denovo445	0	13	0	0	0	0	0	0	0	0	6	3	1	3	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	7
denovo442	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	2
denovo440	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
denovo441	0	0	0	0	0	0	0	8	0	0	0	0	1	22	1	0	1	4	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	1	0	0	1	0	0	4	0	0	2	0	0	0	0	0	0	0
denovo1080	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0
denovo1081	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
denovo1082	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
denovo1083	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
denovo1084	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0
denovo1085	0	0	0	0	1	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1	0	0	0	0	0	1	1	0	0	0	0	0	0
denovo1086	0	3	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
denovo1087	2	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
denovo1088	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	8	0	0
denovo1089	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0
denovo385	1	0	0	3	0	3	2	0	0	4	1	3	2	0	2	3	1	0	4	0	0	4	4	2	5	0	0	0	0	0	1	0	0	0	0	1	4	0	2	0	2	0	0	2	2	0	1	0	1	1	1	0
denovo384	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
denovo387	7	2	0	8	0	0	0	0	0	6	0	0	3	0	0	2	0	0	2	18	0	0	0	1	1	0	0	1	0	1	2	0	0	0	0	0	1	0	3	0	1	0	0	0	0	0	0	0	2	2	0	0
denovo386	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
denovo381	0	0	0	0	0	0	2	1	0	0	0	0	0	0	2	9	0	0	0	1	3	30	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
denovo380	0	0	0	6	0	30	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	15	0	0	8	0	0	0	0	0	0	0	0	0	0
denovo383	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0
denovo382	1	0	0	2	0	2	0	0	0	0	0	0	0	0	2	0	1	0	0	2	0	0	0	0	0	0	2	1	5	0	0	0	0	0	16	0	10	1	0	0	0	0	1	1	0	2	13	0	0	0	0	4
denovo389	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
denovo388	2	0	0	0	3	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	1	0	0	0	0	0	0	1	0	38	0	1	1	0	0	0	0	2	0	4	0	0
denovo129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	421	0	0	0	0	0	0	0	0	0	0
denovo128	21	77	0	38	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	169	0	0	0	0	0	0	0	0	0	10	0	14	14	0	0	0	15	0	15	14	0	0	0	8	0	0	0	0	0	0	0	0
denovo659	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	7	0	0	0	0	0	0	0	1	0	0	0	0	0	6	0	0	0	0	0	1	0	0	2	0	0	1	1	0	0	0	0	0
denovo658	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0
denovo121	0	0	0	0	0	0	0	122	0	0	0	0	0	0	7	181	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	5	0
denovo652	0	0	0	5	0	0	0	0	0	1	1	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	7	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
denovo651	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
denovo122	0	0	0	0	13	21	30	0	0	4	0	0	0	0	31	54	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	15	25	0	3	1	0	0	7	0	2	0	0	0	0	2	3	0	0	0	0
denovo125	0	0	0	0	0	0	0	0	0	0	30	169	0	0	0	0	0	0	0	0	0	1	0	0	0	79	0	0	0	0	0	0	160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
denovo124	0	0	0	0	0	0	0	0	5	0	0	0	36	2	0	13	8	140	5	1	0	0	5	0	1	0	9	0	6	1	0	0	1	0	0	7	24	0	6	0	0	1	2	1	21	0	1	7	1	54	49	0
denovo127	0	0	0	0	0	0	325	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
denovo126	5	7	1	5	5	0	0	5	39	2	1	8	2	3	1	2	5	1	15	11	4	6	3	3	6	68	1	3	22	1	50	0	9	4	3	6	6	13	3	1	1	3	8	16	4	4	2	1	0	0	2	3
denovo464	0	0	0	2	0	1	21	0	0	0	1	0	0	2	2	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10
denovo465	4	0	0	1	0	4	0	5	0	3	0	3	2	1	0	0	1	0	5	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	3	0	0	0	0	0	0	0	4	2	0	0
denovo466	0	3	0	2	0	0	0	0	1	2	1	0	1	0	1	0	3	14	1	3	0	0	0	0	2	0	0	0	0	4	1	0	0	2	0	0	1	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0
denovo467	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44
denovo460	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
denovo461	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
denovo462	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
denovo463	0	0	0	0	0	2	0	0	0	0	4	0	0	0	1	1	0	0	0	0	0	0	0	24	0	0	0	0	0	0	6	7	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
denovo468	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	3	0	0	15
denovo469	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	1	0	0	0	0	0	0	0	0	0	11	8	0	0	0	8	0	8	0	0	1	0	0	0	0	0	0	0	0	0	0
denovo1211	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
denovo1210	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	2	0	0	0	0	0	0	0
denovo109	0	0	0	0	0	104	74	2	0	0	28	0	0	2	0	0	0	0	22	0	0	2	0	0	0	0	4	0	57	0	0	0	46	0	0	0	0	0	159	0	4	0	0	0	0	0	0	0	0	0	0	0
denovo108	0	20	1	0	200	4	11	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	10	0	0	0	0	0	0	0	0	7	0	0	0	20	197	27	11	0	0	0	0	0	7	0	0	0	0	1	1
denovo107	0	0	0	0	0	0	0	9	0	0	0	0	0	0	22	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	144	159	0	1	27	0	0	0	1	0
denovo106	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	332	0	198	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1
denovo105	13	3	0	0	0	0	0	0	101	6	0	43	0	0	0	1	6	1	0	0	0	1	10	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	54	16	0	0	266	0	3	2	1	0	1
denovo104	7	0	6	3	0	0	4	2	94	12	0	0	14	0	2	10	9	0	0	23	0	3	0	0	30	6	0	63	14	70	0	2	0	0	3	0	1	44	0	0	8	0	0	0	15	1	8	0	12	0	1	0
denovo103	34	47	2	1	36	1	0	2	2	13	1	9	6	0	2	7	12	0	6	0	3	3	18	1	2	6	0	84	9	9	69	0	0	25	35	1	15	13	7	13	15	1	8	16	7	5	1	2	4	4	1	4
denovo102	1	0	60	0	0	0	0	1	0	0	0	0	0	0	14	2	0	0	0	0	0	0	6	1	0	0	82	0	0	0	0	0	0	0	1	215	0	0	0	0	8	0	65	0	0	2	6	0	0	0	3	0
denovo101	0	0	0	0	0	118	0	278	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0
denovo100	67	0	0	0	0	0	0	0	0	74	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	33	0	1	398	8	0	0	0	0	0	0	0	0	0	0	0
denovo92	0	0	0	4	0	0	0	1	1	0	0	0	0	0	4	6	28	43	0	0	11	53	0	1	0	14	0	0	0	1	2	0	0	0	1	0	233	0	11	0	0	46	41	0	0	2	10	8	0	0	0	57
denovo93	0	0	0	0	0	0	0	82	0	0	0	0	0	0	13	1	0	0	0	0	0	0	356	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
denovo90	0	0	0	0	0	0	375	0	0	0	0	0	0	0	0	122	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	106	0	0	0	0	3	0	0	0	0	0	0
denovo91	55	0	8	16	18	38	7	6	23	5	7	9	13	9	2	5	13	0	5	9	10	24	2	2	6	9	0	12	12	19	8	4	2	0	10	8	82	0	3	9	7	18	15	22	2	12	29	10	7	18	1	20
denovo96	0	611	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
denovo97	0	0	1	0	0	105	7	0	0	0	0	0	0	6	123	0	0	0	0	0	0	30	0	69	0	0	0	0	49	0	0	0	0	0	0	0	33	0	0	0	52	0	0	0	0	1	21	0	0	0	1	16
denovo94	17	2	0	160	1	13	28	2	0	16	10	3	9	10	12	16	20	0	0	39	20	11	0	2	8	0	0	0	0	21	35	11	20	51	0	0	34	0	13	3	0	8	5	1	4	2	2	1	0	2	1	11
denovo95	0	0	2	0	0	0	1	92	2	0	1	0	30	1	0	220	92	18	2	9	1	0	3	0	0	1	1	0	9	6	0	0	4	3	11	5	10	27	0	2	1	0	0	7	11	0	0	1	0	14	12	0
denovo98	0	0	13	0	51	47	0	15	0	9	27	0	0	18	0	26	17	0	0	0	0	0	0	0	24	0	0	31	0	101	61	5	0	0	64	0	1	0	2	0	0	10	14	34	4	4	0	0	0	1	0	17
denovo99	0	0	0	0	0	0	0	0	0	0	0	0	0	116	0	0	0	0	0	245	0	0	0	0	0	0	4	0	0	1	0	0	0	0	15	0	0	0	0	0	0	215	0	0	0	0	0	0	0	1	0	0
denovo4	130	314	615	212	7	115	18	7	641	30	31	107	458	13	1	8	100	61	204	329	67	22	26	7	0	99	6	697	1	505	121	60	0	103	320	26	346	68	66	10	0	1	0	21	0	8	64	136	190	244	1	1
denovo932	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
denovo933	9	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
